label,content,synonym_aug,back_translation
3,A massive #earthquake in #MirpurAJK &amp; #Jhelum areas has left everyone saddened and shocked. Prayers &amp; deepest sympathies to the families affected by this disaster❤️ᾓ2 Also praying for the people of #IOK &amp; hoping for a positive news❤️ᾓ2 Thanks #PakistanArmy for a swift response.,A massive # seism in # MirpurAJK & amp; # Jhelum areas has give everyone saddened and shocked. Prayers & adenylic acid; deepest sympathies to the families affected by this disaster ❤ ️ ᾓ2 As well praying for the people of # IOK & amp; hoping for a positive news show ❤ ️ ᾓ2 Thanks # PakistanArmy for a swift answer.,A massive # earthquake in the # MirpurAJK & amp; # Jhelum areas has left everyone sad and shocked.
6,‘There’s Almost Nothing We Can Do’: Nearly 80 People Killed In Ecuador Earthquake,‘ In that location ’ s Almost Nothing We Can Act ’: Nearly 80 Mass Killed In Ecuador Quake,"""There is almost nothing we can do"": Nearly 80 killed in Ecuador earthquake"
6,"100 killed, hundreds missing, 500K people in 14 districts effected from floods in Sri Lanka. We need ya help #FloodSL #PrayForSriLanka","100 down, hundreds miss, 500K people in 14 districts effect from floods in Sri Lanka. We need ya help # FloodSL # PrayForSriLanka","100 dead, hundreds missing, 500,000 people in 14 districts affected by floods in Sri Lanka. We need help # FloodSL # PrayForSriLanka"
8,"In an SOS situation, we don’t need food, clothing, shelter anymore! ὤ4 Iski umar ho gayi hai @jigneshmevani80 send her to Himalaya please!","In an SOS position, we assume ’ t take food, clothing, shelter anymore! ὤ4 Iski umar holmium gayi hai @ jigneshmevani80 send her to Himalayas please!","In an SOS situation we no longer need food, clothes, shelter! 4 Iski umar ho gayi hai @ jigneshmevani80 please send them to the Himalayas!"
2,RT @Janice_Golding: Perspective for all my friends around the world. These Maps Show The Insane Size Of The Fort McMurray Wildfire: http,RT @ Janice_Golding: View for all my friend around the world. These Single valued function Show The Insane Sizing Of The Fort McMurray Wildfire: http,RT @ Janice _ Golding: Perspective to all my friends around the world. These maps show the insane size of the Fort McMurray Wildfire: http: / / abcn.ws / 1J6HHH1Hb3
2,"Retweeted Los Angeles Times (@latimes): How strong was the earthquake? In Mexico City, buildings swayed","Retweeted Los Angeles Metre (@ latimes ): How firm was the quake? In United mexican states Metropolis, buildings swayed",Los Angeles Times (@ latimes) retweeted: How strong was the earthquake? Buildings swayed in Mexico City
5,"People once understood living in a river basin meant there would be flooding. Nebraska flooding is the result of extreme cold/winter storms. So is it Global Warming, or an ice age, or just the government should be put in charge of controlling the weather?","People erst understood sustenance in a river basin meant there would live inundate. Nebraska implosion therapy is the result of extreme cold / winter storms. So is information technology Global Warming, or an ice age, beaver state just the government should be put in charge of check the weather?","People once knew there would be flooding if they lived in a river basin. Floods in Nebraska are the result of extreme cold / winter storms, so is it global warming or an ice age, or should government simply be blamed for controlling the weather?"
1,"Western Railway Womens Welfare Organisation dispatched another consignment of relief material by train for Kerala flood victims to Collector, Trichur. The consignment consists of necessary things required as immediate help such as packed food, clothes, water bottles etc #Kerala","Western Railway Woman Well being Arrangement dispatched another consignment of relief textile by gearing for Kerala flood victims to Aggregator, Trichur. The consignment consists of necessary things ask as immediate help such as packed food, clothes, water bottles etc # Kerala","Western Railway Womens Welfare Organization sent another shipment of relief supplies by train for flood victims from Kerala to Collector, Trichur. The shipment consists of essential items such as packed food, clothing, water bottles, etc. # Kerala"
6,RT @TIME: The California fire that killed 48 people is the deadliest U.S. wildfire in a century,RT @ TIME: The California ardour that kill 48 mass be the deadliest U. S. wildfire in a c,RT @ TIME: The California fire that killed 48 people is the deadliest wildfire in the US in a century.
5,sitting under my dining room tabe live tweet aftershocks #notfun #eqnz,sitting nether my dining elbow room tabe unrecorded tweet aftershocks # notfun # eqnz,Live tweeting aftershocks under my dining room table # notfun # eqnz
7,The latest on the #Ymmfire and @RachelNotley to update on fire and 8k evacuated from 19 oilfield camps at 11am,The latest on the # Ymmfire and @ RachelNotley to update on fire and 8k evacuated from 19 oilfield clique at 11am,See the latest # Ymmfire and @ RachelNotley news on fire and 8k evacuation from 19 oilfield sites at 11 a.m.
2,"Not only humans who lost their homes as fires tear through California — the fires are destructive enough to wipe out whole swaths of wildlife habitat, as well, taking a toll on Southern Californias well-loved &amp; closely tracked mountain lions and bobcats.","Not only humans world health organization lost their homes as fire tear through California — the fire personify destructive enough to wipe out whole swath of wildlife home ground, as well, require a toll on Southern Californias well - loved & amp; closely cut through mountain lions and bobcats.","Not just people who lost their homes as the fires raged through California - the fires are destructive enough to wipe out entire swathes of wildlife habitat, taking their toll on Southern California's much-loved mountain lions and bobcats."
4,"RT @NZStuff: #Kaikoura - Drinking water vessels can be filled at Austin St, Cromer St, Bayview St, Hastings St or Mt Fyffe Ave #nzearthquak","RT @ NZStuff: # Kaikoura - Imbibing water vessels can comprise filled at Austin St, Cromer St, Bayview St, Hastings St or Mt Fyffe Ave # nzearthquak","RT @ NZStuff: # Kaikoura - Drinking water tanks can be filled in Austin St, Cromer St, Bayview St, Hastings St or Mt Fyffe Ave # nzearthquak"
7,RT @GlobalEdmonton: WATCH: Wildfire evacuees line up across Alberta for financial assistance @TomVernonGlobal reports #ymmfire #abfire http,RT @ GlobalEdmonton: vigil: Wildfire evacuees line upward across Alberta for fiscal assist @ TomVernonGlobal reports # ymmfire # abfire http,RT @ GlobalEdmonton: WATCH: Wildfire evacuees queue in Alberta to get financial help @ TomVernonGlobal reports # ymmfire # abfire http
4,Rachel Notley says Fort McMurray wildfire not spreading as fast as feared this weekend. Suncor facility not damaged. $SU,Rachel Notley says Fort McMurray wildfire not spreading every bit tight as fear this weekend. Suncor deftness not damaged. $ SU,Rachel Notley says the Fort McMurray wildfire is not spreading as fast as feared this weekend.
6,"At least 50 people are dead in areas hit by Californias latest wildfires, and authorities warn that number could increase as teams continue to comb through the ashes.#CampFire #WoolseyFire","At least 50 people are dead in areas hit by Californias latest wildfires, and authorities admonish that telephone number could increase as teams keep to comb out through the ash. # CampFire # WoolseyFire","At least 50 people have died in areas affected by recent wildfires in California, and authorities warn that the number could rise as crews continue to comb through the ash. # CampFire # WoolseyFire"
7,RT @keahicory: Wellington evacuation map #tsunami #eqnz #wellington #ngaio #lowerhutt #civildefence,RT @ keahicory: Iron duke evacuation mathematical function # tsunami # eqnz # wellington # ngaio # lowerhutt # civildefence,RT @ keahicory: Evacuation map of Wellington # tsunami # eqnz # wellington # ngaio # lowerhutt # civildefense
1,"RT @CNNnews18: Indias Youngest Billionaire Donates Rs 10,000 to #KeralaFloods Relief. #SOSKerala | @theotherbose","RT @ CNNnews18: India Youngest Billionaire Donates R 10, 000 to # KeralaFloods Alleviation. # SOSKerala | @ theotherbose","RT @ CNNnews18: India's youngest billionaire donates 10,000 rupees to # KeralaFloods relief. # SOSKerala | @ theotherbose"
1,RT @VivianFabiolaV: Just donated $50 to help the victims of the Mexico earthquake that left so many homeless. #YoXMéxico,RT @ VivianFabiolaV: Scarce donated $ fifty to help the victim of the Mexico earthquake that left thus many homeless person. # YoXMéxico,RT @ VivianFabiolaV: Just donated $50 to help the victims of the Mexico earthquake that left so many homeless. # YoXMéxico
8,"My very special friend @XTinaTaft has lost her mum in the fires in California. The local government gave her no warning or evacuations. Please help her GoFundme, she is an only child of a single mum who was the closest person to her. There is a cover up.","My real special booster @ XTinaTaft has lose her mum in the fires in California. The local government gave her nobelium admonition or evacuations. Please aid her GoFundme, she is an only kid of a single mum who was the closest person to her. There is a cover up.","My very special friend @ XTinaTaft lost her mother in the fires in California. Local government did not give her any warning or evacuations. Please help her GoFundme, she is the only child of a single mother who was closest to her. There is a cover-up."
3,Earthquake in Italy. Condolences to all family who have to bare a lost. #ItalyEarthquake,Seism in Italia. Condolences to all kinsfolk who have to bare a doomed. # ItalyEarthquake,Earthquake in Italy. Condolences to all the families who have lost a loved one. # ItalyEarthquake
6,RT @MughalAmiruddin: Kashmir #Eaethquke 4 deaths and 100 injured #Mirpur #Pakistan administered #Kashmir,RT @ MughalAmiruddin: Cashmere # Eaethquke quaternary death and 100 injured # Mirpur # Pakistan administered # Kashmir,RT @ MoghalAmiruddin: Kashmir # Eaethquke 4 dead and 100 injured # Mirpur # Pakistan # Kashmir
3,Pray for people who are in dangerous stage Kerala Flood.,Pray for people world health organization personify in serious stage Kerala Flood.,Pray for the people who are in a dangerous phase of the Kerala Flood.
8,"#Keralafloods #Emergency Need urgent help. Genuine, verified. Location: Sri. Ayyappa College Hostel. Near Thiruvanchoor temple. #Chengannur 31 girls - Students stranded. Mob: +91 70254 38808","# Keralafloods # Emergency Demand pressing help. Genuine, verified. Location: Sri. Ayyappa College Hostel. Near Thiruvanchoor temple. # Chengannur 31 young woman - Students strand. Mob: + 91 70254 38808","# Keralafloods # Emergency Need urgent help. Real, verified. Location: Sri. Ayyappa College Hostel. Near the Thiruvanchoor Temple. # Chengannur 31 girls - students stranded. Mob: + 91 70254 38808"
6,"California wildfires latest, per @NPR: — At least 31 people dead statewide — At least 228 unaccounted for — At least 6,713 structures, incl. 6,435 homes, destroyed by #CampFire —#WoolseyFire 15% contained —#CampFire 25% contained —#HillFire 75% contained","California wildfires latest, per @ NPR: — At least 31 people dead statewide — At least 228 unaccounted for — At least half dozen, 713 structures, incl. 6, 435 homes, destroyed by # CampFire — # WoolseyFire fifteen% contained — # CampFire xxv% contained — # HillFire 75% stop","Recent wildfires in California, according to @ NPR: - At least 31 deaths nationwide - At least 228 unexplained cases - At least 6,713 buildings, including 6,435 homes, destroyed by # CampFire - # WoolseyFire 15% contained - # CampFire 25% contained - # HillFire 75% contained"
8,#Alappuzha #KeralaFloodRelief #Resources #KeralaFloodrequest Verified. Please help/ call/ RT. Tagging @ResourcesKerala @edakkamannil @_leppi @JohnBhrn @iKooky @goonj @SaginaWalyat @Shudraism @ResourcesKerala @massheroyaru @SolidFumes @Aravindh_Sethu @vivekpoduval,# Alappuzha # KeralaFloodRelief # Resourcefulness # KeralaFloodrequest Verified. Please help / call / RT. Tagging @ ResourcesKerala @ edakkamannil @ _leppi @ JohnBhrn @ iKooky @ goonj @ SaginaWalyat @ Shudraism @ ResourcesKerala @ massheroyaru @ SolidFumes @ Aravindh_Sethu @ vivekpoduval,# Alappuzha # KeralaFloodRelief # Resources # KeralaFloodrequest Verified. Please help / call us / RT. Tagging @ ResourcesKerala @ edakkamannil @ _ leppi @ JohnBhrn @ iKooky @ goonj @ SaginaWalyat @ Shudraism @ ResourcesKerala @ massheroyaru @ SolidFumes @ Aravindh _ Sethu @ vivekpoduval
1,"#retweet4good I’m not much for these commercial retweets, but if State Farm is going to donate to the California Fire victims, count me in!","# retweet4good I ’ m not much for these commercial retweets, simply if Dos Farm be going to donate to the California Flaming victim, count me in!","# retweet4good I'm not much for these commercial retweets, but if State Farm wants to donate to the fire victims in California, count me out!"
5,"61-year-old, Cecile Eledge delivered five pound, 13-ounce Uma Louise Dougherty-Eledge at Nebraska Medical Center at 6:06 am on Monday, March 25. &gt;&gt;","61 - year - older, Cecile Eledge deport five pound, long dozen - troy ounce Uma Louise Dougherty - Eledge at Nebraska Medical examination Mall at hexad: 06 am on Monday, March xxv. & gt; & gt;","Cecile Eledge, 61, delivered Uma Louise Dougherty-Eledge at Nebraska Medical Center at 6: 06 a.m. on Monday, March 25. & gt; & gt;"
3,Our thoughts are with those affected by #EcuadorEarthquake. You can help survivors of this disaster:  (via @UNOCHA),Our thought process cost with those touch on by # EcuadorEarthquake. You can help survivors of this disaster: (via @ UNOCHA ),Our thoughts are with those affected by the # EcuadorEarthquake. You can help the survivors of this disaster: (via @ UNOCHA)
3,Sending out thoughts and prayers to all those in need who are affected by the wildfire in Fort McMurray.,Sending out thoughts and prayer to all those in want who be affected by the wildfire in Fort McMurray.,Sending thoughts and prayers to all those affected by the Fort McMurray wildfire.
5,"ALLAH SWT is definitely unhappy with us, we are just abusing each other, not respecting/taking care of each other, v involved in all bad habits. Muslims being badly tortured killed but their Muslim brothers not helping them rather helping culprits so it’ll happen #earthquake","ALLAH SWT is decidedly unhappy with u.s., we are just shout each other, not respecting / taking care of each other, v involved in all bad habits. Muslims equal badly tortured killed only their Muslim brothers not helping them rather helping perpetrator so it ’ ll happen # temblor","ALLAH SWT is definitely unhappy with us, we just abuse each other, do not respect each other and do not care about each other, v are involved in all bad habits. Muslims who are severely tortured are killed, but their Muslim brothers do not help them, but help the perpetrators, so it will happen # earthquake."
4,RT @BelievnTheDream: ὣ1PSA! California Fire Victims -Heads Up!,RT @ BelievnTheDream: ὣ1PSA! California Fire Victim - Head Up!,RT @ BelievnTheDream: 1PSA! California Fire Victims -Heads Up!
7,Evacuating Britomart? Really? I guarantee nothing will happen! @AklTransport #AklTransport #over-reaction #earthquake #tsunami,Evacuating Britomart? Really? I vouch zippo bequeath happen! @ AklTransport # AklTransport # over - reaction # temblor # tsunami,Britomart evacuate? Really? I guarantee nothing will happen! @ AklTransport # AklTransport # Overreaction # Earthquake # Tsunami
4,Its a good option for Raglan residents to find alternate accommodation or somewhere that has its own water supply #eqnz,Its a good alternative for Raglan residents to find alternate adjustment operating theatre somewhere that throw it own piddle supply # eqnz,It is a good option for the inhabitants of Raglan to find alternative accommodation or a place with its own water supply # eqnz
6,Dramatic photos out of #California show the raging wildfire that has killed at least 31 people: .,Dramatic photos verboten of # California register the raging wildfire that have killed at least 31 people:.,Dramatic photos from # California show the raging wildfire that has killed at least 31 people.
4,RT @suzemetherell: People who work in Wellingtons centre are being told to stay home as damage of the 7.5 shake overnight is assessed. #eq,RT @ suzemetherell: People world health organization work in Wellingtons essence are being told to stay home as price of the 7. 5 trill overnight is assessed. # equivalent,RT @ suzemetherell: People working in the centre of Wellington are being urged to stay home as damage from the 7.5 quake is assessed overnight. # eq
5,"Kashmir dispute, a threat to world peace: Mishal. #pakistan. #kashmir","Kashmir contravention, a threat to earthly concern peace: Mishal. # pakistan. # jammu and kashmir","Kashmir dispute, a threat to world peace: Mishal. # pakistan. # kashmir"
5,Why would a verified sports journalism organization be so petty?,Why would a verified sport news media organization constitute so petty?,"Why would a sports journalists ""organisation be so petty?"
5,"Doe not make any sense. SoCal fires are in chapparal scrub, not trees, certainly not loggable. That, and POTUS is an undignified sociopath.","Doe not make any sense. SoCal fires are in chapparal scrubbing, non tree diagram, certainly not loggable. That, and POTUS follow an undignified sociopath.","SoCal fires are in the bushes, not in trees, certainly not localised. That, and POTUS is an undignified sociopath."
3,Pray For #Mexico. Memes &amp; Tributes To Share After The Horrific #Earthquake #MexicoCityearthquake #memlook,Pray For # United mexican states. Meme & adenylic acid; Tributes To Share After The Horrific # Quake # MexicoCityearthquake # memlook,Pray for # Mexico: Memes & amp; Tributes To Share After The Terrible # Earthquake # MexicoCityearthquake # memlook
1,"Thank you @JackLinks for your generous donation to the flood victims in Boyd County, Nebraska! The firemen especially appreciated your donation! #jacklinks #jacklinksjerky #teriyakiyum #damflood #nebraskastrong #nebraskaflood #boydcountystrong","Thank you @ JackLinks for your generous donation to the flood victims in Boyd County, Ne! The reliever especially appreciate your donation! # jacklinks # jacklinksjerky # teriyakiyum # damflood # nebraskastrong # nebraskaflood # boydcountystrong","Thank you @ JackLinks for your generous donation to the flood victims in Boyd County, Nebraska! The fire department was especially happy about your donation! # jacklinks # jacklinksjerky # teriyakiyum # damflood # nebraskastrong # nebraskaflood # boydcountystrong"
1,"When everyone is Kerala - the people, the Kerala Govt, the defense forces, fishermen are pooling together for Flood Relief &amp; Rescue, the RSS/BJP stand out in trying to claim credit by spreading Fake News! Watch this @AltNews video to see their contribution to #KeralaFloodRelief!","When everyone be Kerala - the people, the Kerala Govt, the defensive structure power, fishermen cost pooling together for Flood Relief & amp; Rescue, the RSS / BJP suffer out in examine to claim mention by spreading Impostor News! Watch this @ AltNews video to see their contribution to # KeralaFloodRelief!","When everyone is Kerala - the people, the governor of Kerala, the defense forces, the fishermen - join forces for Flood Relief & amp; Rescue, the RSS / BJP stands out in trying to claim credit by spreading fake news! Watch this @ AltNews video to see their contribution to # KeralaFloodRelief!"
6,My heart is breaking- Death toll rises to 56 in Northern Californias Camp Fire; missing climb to 297 - NBC News,My heart is breaking - Death price climb to fifty six in Northern Californias Camp Attack; missing climb to 297 - NBC Tidings,My heart breaks - Death toll in Camp Fire in Northern California rises to 56; missing person toll rises to 297 - NBC News
8,"Are you in Thrissur and want to help out with relief measures? Pls send water bottles, food items you want to send to relief camps to Thrissur Collectorate. Relief items are being sorted and sent to camps from here. #KeralaFloods #KeralaFloodRelief","Are you in Thrissur and want to help tabu with relief measures? Pls send water bottles, food items you want to send to relief camps to Thrissur Collectorate. Relief items be being sort and sent to camps from here. # KeralaFloods # KeralaFloodRelief","Are you in Thrissur and want to help with the relief efforts? Pls send water bottles, food that you want to send to the relief camps in Thrissur Collectorate. Relief supplies are sorted and sent from here to the camps. # KeralaFloodRelief # KeralaFloodRelief"
3,Thanks every one for their concerns after the earthquake in NZ. Our friends and family are ok. Areas of the South Island not so lucky #eqnz,Thanks every one for their concerns after the earthquake in NZ. Our friends and category are ok. Areas of the Dixieland Island non so lucky # eqnz,Thank you to everyone for their concern after the earthquake in New Zealand. Our friends and family are doing well. Areas of the South Island not so happy # eqnz
1,"RT @kimbopiaggins: Dear friends, Oxfam Mexico is responding to the 19-S earthquake. Please donate","RT @ kimbopiaggins: Beloved friends, Oxfam United mexican states is responding to the xix - S earthquake. Delight donate","RT @ kimbopiaggins: Dear friends, Oxfam Mexico is responding to the 19 S earthquake. Please donate."
2,Damage in wildfire is pegged in the billions of dollars. Will take years to rebuild #ymmfire,Hurt in wildfire is nail in the one thousand million of dollars. Volition take days to rebuild # ymmfire,"Damage from wildfires is running into billions of dollars, and it will take years to rebuild # ymmfire."
5,"RT @Smitty676: How rude of John Key missing a phone call from Donald trump, the Don could help us build walls to stop the landslides. #eqnz","RT @ Smitty676: How rude of Whoremonger Florida key missing a phone call from Donald trump, the Don could help u build rampart to stop the landslides. # eqnz",RT @ Smitty676: How rude that John Key missed a call from Donald Trump saying the Don could help us build walls to stop the landslides. # eqnz
